State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alabama,2020-01-04,4578,2019-12-28,18523,1923741,0.96
Alabama,2020-01-11,3629,2020-01-04,21143,1923741,1.1
Alabama,2020-01-18,2483,2020-01-11,17402,1923741,0.9
Alabama,2020-01-25,2129,2020-01-18,18390,1923741,0.96
Alabama,2020-02-01,2170,2020-01-25,17284,1923741,0.9
Alabama,2020-02-08,2176,2020-02-01,16745,1923741,0.87
Alabama,2020-02-15,1981,2020-02-08,16571,1923741,0.86
Alabama,2020-02-22,1735,2020-02-15,16059,1923741,0.83
Alabama,2020-02-29,1575,2020-02-22,14721,1923741,0.77
Alabama,2020-03-07,1663,2020-02-29,13657,1923741,0.71
Alabama,2020-03-14,1819,2020-03-07,13070,1923741,0.68
Alabama,2020-03-21,10892,2020-03-14,12487,1923741,0.65
Alabama,2020-03-28,80984,2020-03-21,18083,1923741,0.94
Alabama,2020-04-04,106739,2020-03-28,52176,1923741,2.71
Alabama,2020-04-11,77515,2020-04-04,95325,1929897,4.94
Alabama,2020-04-18,66432,2020-04-11,144327,1929897,7.48
Alabama,2020-04-25,74966,2020-04-18,173855,1929897,9.01
Alabama,2020-05-02,28985,2020-04-25,214684,1929897,11.12
Alabama,2020-05-09,26666,2020-05-02,216856,1929897,11.24
Alabama,2020-05-16,25150,2020-05-09,203677,1929897,10.55
Alabama,2020-05-23,27919,2020-05-16,190205,1929897,9.86
Alabama,2020-05-30,21335,2020-05-23,183565,1929897,9.51
Alabama,2020-06-06,19949,2020-05-30,180245,1929897,9.34
Alabama,2020-06-13,18367,2020-06-06,163982,1929897,8.5
Alabama,2020-06-20,18671,2020-06-13,150002,1929897,7.77
Alabama,2020-06-27,18338,2020-06-20,141450,1929897,7.33
Alabama,2020-07-04,19056,2020-06-27,138272,1929897,7.16
Alabama,2020-07-11,20563,2020-07-04,117388,1935262,6.07
Alabama,2020-07-18,23676,2020-07-11,105644,1935262,5.46
Alabama,2020-07-25,17437,2020-07-18,94069,1935262,4.86
Alabama,2020-08-01,11690,2020-07-25,84070,1935262,4.34
Alabama,2020-08-08,9467,2020-08-01,70412,1935262,3.64
Alabama,2020-08-15,11047,2020-08-08,58275,1935262,3.01
Alabama,2020-08-22,8676,2020-08-15,51991,1935262,2.69
Alabama,2020-08-29,8511,2020-08-22,48797,1935262,2.52
Alabama,2020-09-05,8901,2020-08-29,44546,1935262,2.3
Alabama,2020-09-12,8848,2020-09-05,40198,1935262,2.08
Alabama,2020-09-19,8679,2020-09-12,37431,1935262,1.93
Alabama,2020-09-26,8805,2020-09-19,34997,1935262,1.81
Alabama,2020-10-03,7732,2020-09-26,30716,1935262,1.59
Alabama,2020-10-10,8581,2020-10-03,27063,1939059,1.4
Alabama,2020-10-17,7964,2020-10-10,43493,1939059,2.24
Alabama,2020-10-24,7126,2020-10-17,35544,1939059,1.83
Alabama,2020-10-31,7060,2020-10-24,31693,1939059,1.63
Alaska,2020-01-04,981,2019-12-28,10177,306493,3.32
Alaska,2020-01-11,1371,2020-01-04,9310,307329,3.03
Alaska,2020-01-18,1181,2020-01-11,9984,307329,3.25
Alaska,2020-01-25,1003,2020-01-18,9496,307329,3.09
Alaska,2020-02-01,1122,2020-01-25,9579,307329,3.12
Alaska,2020-02-08,980,2020-02-01,9161,307329,2.98
Alaska,2020-02-15,915,2020-02-08,9343,307329,3.04
Alaska,2020-02-22,773,2020-02-15,8864,307329,2.88
Alaska,2020-02-29,874,2020-02-22,8938,307329,2.91
Alaska,2020-03-07,815,2020-02-29,8266,307329,2.69
Alaska,2020-03-14,1120,2020-03-07,8522,307329,2.77
Alaska,2020-03-21,7847,2020-03-14,8512,307329,2.77
Alaska,2020-03-28,13774,2020-03-21,11173,307329,3.64
Alaska,2020-04-04,14590,2020-03-28,19845,307329,6.46
Alaska,2020-04-11,12007,2020-04-04,35365,308137,11.48
Alaska,2020-04-18,12201,2020-04-11,48096,308137,15.61
Alaska,2020-04-25,10313,2020-04-18,52022,308137,16.88
Alaska,2020-05-02,8718,2020-04-25,49893,308137,16.19
Alaska,2020-05-09,7807,2020-05-02,50791,308137,16.48
Alaska,2020-05-16,7741,2020-05-09,50049,308137,16.24
Alaska,2020-05-23,8152,2020-05-16,48000,308137,15.58
Alaska,2020-05-30,7452,2020-05-23,47344,308137,15.36
Alaska,2020-06-06,7081,2020-05-30,47123,308137,15.29
Alaska,2020-06-13,6797,2020-06-06,45792,308137,14.86
